miner,epoch,param.penalty,param.gasreward,param.wincount,block_reward,total_reward,penalty,reward_payable
t01000,2,0,6946769,3,16473734549568359385,16473734549575306154,0,16473734549575306154
t01000,3,0,0,2,10984246267407749750,10984246267407749750,0,10984246267407749750
t01000,5,0,0,2,10984245262282439950,10984245262282439950,0,10984245262282439950
t01000,6,0,0,1,5492121626016048159,5492121626016048159,0,5492121626016048159
t01000,7,0,0,2,10984242246907062486,10984242246907062486,0,10984242246907062486
t01000,8,0,0,3,16476361862673180968,16476361862673180968,0,16476361862673180968
t01000,9,0,0,2,10984240236657270793,10984240236657270793,0,10984240236657270793
t01000,10,0,0,4,21968478463065025864,21968478463065025864,0,21968478463065025864
t01000,11,0,0,2,10984238226407847059,10984238226407847059,0,10984238226407847059
t01002,12,0,0,2,10984237221283273177,10984237221283273177,0,10984237221283273177
t01002,14,0,0,4,21968472432317582568,21968472432317582568,0,21968472432317582568
t01002,15,0,0,2,10984234205910103468,10984234205910103468,0,10984234205910103468
t01002,16,0,0,1,5492116600392948772,5492116600392948772,0,5492116600392948772
t01002,17,0,0,2,10984232195661783611,10984232195661783611,0,10984232195661783611
t01002,18,0,0,1,5492115595268880833,5492115595268880833,0,5492115595268880833
t01002,19,0,0,2,10984230185413831712,10984230185413831712,0,10984230185413831712
t01002,20,0,0,4,21968458360579987496,21968458360579987496,0,21968458360579987496
t01002,21,0,0,1,5492114087583123886,5492114087583123886,0,5492114087583123886
t01002,22,0,0,3,16476340755063890681,16476340755063890681,0,16476340755063890681
t01002,23,0,0,2,10984226164919031791,10984226164919031791,0,10984226164919031791
t01002,24,0,0,1,5492112579897780892,5492112579897780892,0,5492112579897780892
t01002,25,0,0,5,27460560386680459423,27460560386680459423,0,27460560386680459423
t01002,26,0,0,1,5492111574774448871,5492111574774448871,0,5492111574774448871
t01002,27,0,0,1,5492111072212851852,5492111072212851852,0,5492111072212851852
t01002,28,0,0,3,16476331708953902486,16476331708953902486,0,16476331708953902486
t01001,29,0,0,4,21968440268359183200,21968440268359183200,0,21968440268359183200
t01002,29,0,0,1,5492110067089795800,5492110067089795800,0,5492110067089795800
t01001,30,0,0,3,16476328693585010297,16476328693585010297,0,16476328693585010297
t01001,31,0,0,2,10984218123933847452,10984218123933847452,0,10984218123933847452
t01002,32,0,0,3,16476325678216670045,16476325678216670045,0,16476325678216670045
t01001,32,0,0,2,10984217118811113363,10984217118811113363,0,10984217118811113363
t01000,33,0,0,2,10984216113688471264,10984216113688471264,0,10984216113688471264
t01000,34,0,0,3,16476322662848881731,16476322662848881731,0,16476322662848881731
t01000,35,0,0,3,16476321155165194550,16476321155165194550,0,16476321155165194550
t01000,36,0,0,5,27460532745802742256,27460532745802742256,0,27460532745802742256
t01000,38,0,0,4,21968424186397645522,21968424186397645522,0,21968424186397645522
t01000,39,0,0,1,5492105041477275223,5492105041477275223,0,5492105041477275223
t01000,40,0,0,5,27460522694581380686,27460522694581380686,0,27460522694581380686
t01001,40,0,0,1,5492104538916276137,5492104538916276137,0,5492104538916276137
t01002,40,0,0,3,16476313616748828411,16476313616748828411,0,16476313616748828411
t01001,41,0,0,2,10984208072710646090,10984208072710646090,0,10984208072710646090
t01001,43,0,0,2,10984207067588831897,10984207067588831897,0,10984207067588831897
t01002,44,0,0,2,10984205057345479478,10984205057345479478,0,10984205057345479478
t01001,44,0,0,5,27460512643363698695,27460512643363698695,0,27460512643363698695
t01002,46,0,0,2,10984204052223941252,10984204052223941252,0,10984204052223941252
